Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
29-01-2017,28.44,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,22.97,28.7,28.7,28.7
30-01-2017,30.57,31.89,31.89,32.31,38.52,32.62,32.34,38.52,30.96,30.42,30.16,30.53,30.53,23.35,32.62,38.52,38.52
31-01-2017,31.99,34.81,34.81,35.21,36.77,36.5,34.44,36.77,30.83,30.83,30.37,31.66,31.66,24.21,36.5,36.79,36.79
01-02-2017,31.33,31.9,31.9,32.03,38.96,37.45,31.43,38.96,30.65,30.65,30.29,31.65,31.65,25.68,37.45,39.4,39.4
02-02-2017,31.43,31.84,31.84,31.84,37.28,35.03,31.35,37.28,31.35,31.35,30.75,31.84,31.84,27.21,35.03,37.43,37.43
03-02-2017,32.45,33.4,33.4,33.4,37.27,39.13,32.58,37.27,32.15,32.15,31.29,33.4,33.4,25.07,39.13,39.13,39.13
04-02-2017,31.61,31.95,31.95,31.95,32.17,31.95,31.5,32.17,31.95,31.94,31.48,31.83,31.83,25.07,31.95,32.17,32.17
05-02-2017,31.45,31.71,31.71,31.71,31.71,31.71,31.71,31.71,31.71,31.71,31.55,31.71,31.71,25.42,31.71,31.71,31.71
06-02-2017,33.37,34.94,34.94,34.94,37.25,39.04,32.68,37.25,32.68,32.68,32.15,33.46,33.46,26.18,39.04,39.04,39.04
07-02-2017,35.41,42.13,42.13,42.13,42.13,43.95,32.55,42.13,35.19,32.55,32.29,35.77,35.77,32.69,43.39,43.39,43.39
08-02-2017,39.05,45.68,45.68,45.68,45.68,46.52,33.28,45.68,34.3,33.28,32.86,45.68,45.68,45.68,46.52,46.52,46.52
09-02-2017,43.95,46.58,46.58,46.58,46.62,47.52,45.64,46.62,35.51,35.51,33.3,46.58,46.58,46.58,47.52,47.52,47.52
10-02-2017,36.94,38.81,38.81,38.81,38.81,41.92,33.64,38.81,34.31,33.64,33.53,38.81,38.81,38.81,41.92,41.92,41.92
11-02-2017,32.14,32.27,32.27,32.27,32.27,32.77,32.21,32.27,32.25,32.21,32.21,32.27,32.27,24.98,35.04,35.66,35.66
12-02-2017,31.37,31.66,31.66,31.66,31.89,31.66,31.63,31.89,31.66,31.66,31.64,31.63,31.63,24.61,31.66,31.91,31.91
13-02-2017,32.87,32.45,32.45,33.33,39.31,33.48,33.33,39.31,33.43,33.43,32.59,32.45,32.45,24.87,33.48,39.47,39.47
14-02-2017,33.36,34.19,34.19,34.19,38.95,35.31,33.62,38.95,32.73,32.73,32.73,34.18,34.18,24.65,35.31,40.46,40.6
15-02-2017,35.77,43.21,43.21,43.21,43.21,44.51,43.21,43.21,33.2,33.2,33.2,42.61,42.61,23.62,44.51,46.66,46.66
16-02-2017,31.5,31.55,31.55,31.55,32.41,35.59,31.55,32.41,31.55,31.55,31.55,31.55,31.55,23.88,35.59,37.51,37.51
17-02-2017,31.26,31.13,31.13,31.15,31.15,32.63,31.27,31.15,31.34,31.34,31.34,31.13,31.13,26.11,32.63,35.95,37.64
18-02-2017,30.22,30.16,30.16,30.16,30.16,30.21,30.16,30.16,30.33,30.33,30.33,30.16,30.16,25.11,30.21,37.38,37.38
19-02-2017,28.95,27.11,27.11,27.11,27.11,27.11,21.42,24.81,30.26,30.26,30.26,27.11,27.11,25.97,27.11,27.54,27.54
20-02-2017,29.78,28.68,28.68,28.68,28.68,36.8,13.71,22.33,30.54,30.54,30.54,28.68,28.68,28.37,36.8,36.8,36.8
21-02-2017,30.1,29.35,29.35,29.35,29.35,34.96,26.13,26.72,30.35,30.35,30.35,29.35,29.35,28.72,34.96,34.98,35.12
22-02-2017,29.18,28.49,28.49,28.49,28.49,31.24,22.6,23.05,29.62,29.62,29.62,28.49,28.49,28.49,31.24,31.33,33.45
23-02-2017,29.82,28.36,28.36,28.36,28.36,28.36,23.62,23.63,30.88,30.88,30.88,29.17,29.17,27.38,28.36,28.36,29.67
24-02-2017,30.68,30.23,30.23,30.24,30.24,30.24,25.59,25.59,31.26,31.26,31.26,30.23,30.23,25.65,30.24,30.24,30.24
25-02-2017,30.2,29.97,29.97,29.97,29.97,29.99,27.38,27.44,30.59,30.59,30.59,29.97,29.97,24.35,29.99,29.99,29.99
26-02-2017,29.13,28.64,28.64,28.64,28.64,28.64,20.38,20.38,30,30,30,28.64,28.64,24.36,28.64,28.64,28.64
27-02-2017,30.59,29.94,29.94,29.94,29.94,34.48,26.47,26.47,30.9,30.9,30.9,29.94,29.94,25.31,34.48,34.48,34.46
28-02-2017,29.87,29.37,29.37,29.37,29.37,29.74,25.38,25.39,30.54,30.54,30.54,29.37,29.37,24.95,29.74,29.74,29.7
01-03-2017,30.84,30.78,30.78,30.78,30.78,31.82,30.31,30.79,31.33,31.3,31.3,30.78,30.78,24.39,31.82,32.55,32.55
02-03-2017,30.8,30.94,30.94,30.94,30.95,31.31,30.66,30.86,31.31,31.09,31.09,30.94,30.94,24.75,31.31,31.31,31.3
03-03-2017,31.49,31.06,31.06,31.06,31.62,33.3,31.04,31.64,31.52,31.52,31.52,31.06,31.06,25.66,33.3,33.3,33.3
04-03-2017,30.34,30.17,30.17,30.17,30.17,30.17,28.56,30.03,30.64,30.64,30.64,30.17,30.17,25.42,30.17,30.17,30.17
05-03-2017,29.81,28.41,28.41,28.41,28.41,28.41,17.55,22.24,30.75,30.73,30.73,28.49,28.49,24.99,28.41,28.41,28.41
06-03-2017,32.99,33.12,33.12,33.12,33.12,36.89,32.62,33.01,32.96,32.9,32.9,33.02,33.02,25.6,36.89,36.09,36.09
07-03-2017,39.29,41.64,41.64,41.64,41.71,41.64,41.7,41.71,41.17,41.12,41.12,41.64,41.64,25.23,41.59,41.59,41.66
08-03-2017,33.11,33.81,33.81,33.81,33.81,33.81,33.81,33.81,33.75,33.49,33.49,33.88,33.88,25.03,33.78,33.78,33.78
09-03-2017,32.07,32.22,32.22,32.22,32.63,32.22,32.25,32.63,32.34,32.34,32.34,32.23,32.23,24.71,32.04,32.04,35.83
10-03-2017,31.37,31.58,31.58,31.58,31.58,32.4,29.62,29.62,31.68,31.68,31.68,31.85,31.85,24.53,32.4,32.4,35.58
11-03-2017,30.65,31.07,31.07,31.07,31.07,31.07,31.08,31.08,31.08,31.08,31.08,31.07,31.07,23.15,31.07,31.07,31.07
12-03-2017,28.75,29.12,29.12,29.12,29.12,29.12,28.97,29.12,29.35,29.35,29.35,29.28,29.28,23.15,29.12,29.12,32.37
13-03-2017,31.42,31.93,31.93,31.93,34.29,31.93,34.18,34.2,31.54,31.54,31.54,31.99,31.99,24.21,31.88,31.88,36.47
14-03-2017,29.5,28.96,28.96,28.96,30.27,28.96,28.7,30.27,30.27,30.27,30.27,30.07,30.07,23.91,28.96,28.96,31.9
15-03-2017,28.53,23.91,23.91,23.91,23.91,23.91,23.08,23.08,30.12,30.12,30.12,29.47,29.47,23.99,23.91,23.91,23.91
16-03-2017,29.95,28.93,28.93,28.93,30.23,29.04,27.91,29.8,30.81,30.81,30.81,30.24,30.24,23.58,28.83,28.83,30.02
17-03-2017,28.17,26.08,26.08,26.08,26.08,26.08,25.35,25.4,29.54,29.54,29.54,29.09,29.09,23.74,26.08,26.08,26.08
18-03-2017,28.21,26.51,26.51,26.51,26.51,26.51,22.74,22.79,29.58,29.58,29.58,29.34,29.34,23.33,26.47,26.47,26.47
19-03-2017,28.64,27.92,27.92,27.92,27.92,27.92,16.07,18.92,29.43,29.43,29.43,29.56,29.56,23.5,27.92,27.92,27.92
20-03-2017,30.42,30,30,30,30,30,27.82,27.85,31.21,31.21,31.21,31.63,31.63,23.8,30,30,30
21-03-2017,28.76,26.83,26.83,26.83,26.83,26.83,25.67,26.83,29.91,29.91,29.91,29.87,29.87,23.58,26.83,26.83,26.83
22-03-2017,29.78,28.66,28.66,28.66,28.66,28.66,29.63,29.68,30.68,30.68,30.68,29.93,29.93,24.64,28.66,28.66,28.66
23-03-2017,30.77,31.33,31.33,31.33,31.33,31.33,31.71,31.34,31.66,31.66,31.66,31.34,31.34,24.38,31.33,31.33,31.33
24-03-2017,30.61,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.01,31.01,31.01,31.92,31.92,24.26,31.92,31.92,31.92
25-03-2017,28.03,27.89,27.89,27.89,27.89,27.89,27.11,26.82,28.58,28.58,28.6,28.09,28.09,24.03,27.89,27.89,27.89
26-03-2017,27.45,26.89,26.89,26.89,26.89,26.89,27.54,27.54,28.37,28.37,28.37,27.86,27.86,23.87,26.89,26.89,26.89
27-03-2017,29.47,29.72,29.72,29.72,29.72,29.72,30.45,30.17,29.75,29.75,29.75,29.95,29.95,24.6,29.72,29.72,29.72
28-03-2017,31.17,32.71,32.71,32.71,32.71,32.71,34.18,33.67,30.35,30.35,30.35,33.12,33.12,24.26,32.7,32.7,32.7
29-03-2017,30.63,34.39,34.39,34.39,34.39,34.39,32.09,32.09,29.66,29.66,29.66,34.39,34.39,24.74,34.39,34.39,34.39
30-03-2017,30.15,33.12,33.12,33.12,33.12,33.12,31.32,33.12,29.48,29.39,29.4,33.12,33.12,24.84,33.11,33.11,33.11
31-03-2017,29.19,30.51,30.51,30.51,30.51,30.86,30.07,30.3,29.8,28.87,28.9,30.74,30.74,24.73,30.8,30.8,30.8
01-04-2017,27.16,27.16,27.16,27.16,27.16,27.16,29.97,29.98,27.5,27.5,27.5,27.36,27.36,24.36,27.16,27.16,27.16
02-04-2017,27.24,27.44,27.44,27.44,27.44,27.44,27.81,27.92,27.5,27.5,27.5,27.44,27.44,24.51,27.44,27.44,27.44
03-04-2017,30.73,34,34,34,34.57,34,35.66,35,29.27,29.27,29.27,34,34,24.65,34,34.57,34.57
04-04-2017,28.36,28.39,28.39,28.39,32.51,28.39,30.41,36.89,28.5,28.5,28.5,28.39,28.39,24.3,28.39,32.51,32.51
05-04-2017,27.24,26.79,26.79,26.79,29.16,29.87,14,29.12,27.54,27.54,27.54,26.9,26.9,24.47,29.87,31.65,31.65
06-04-2017,27.85,27.29,27.29,27.29,29.01,30.93,22.94,27.5,28.19,28.19,28.19,28,28,24.25,30.93,30.93,30.93
07-04-2017,27.92,28.89,28.89,28.89,31.18,32.22,23.39,30.53,28.02,28.02,28.02,29.09,29.09,24.37,32.22,32.22,32.22
08-04-2017,27.93,28.3,28.3,28.3,28.3,28.44,28.3,28.3,28.3,28.3,28.3,28.28,28.28,24.33,28.44,28.44,28.44
09-04-2017,26.12,25.51,25.51,25.51,25.51,25.51,26.58,26.86,27,27,27,25.57,25.57,24.11,25.51,25.51,25.51
10-04-2017,25.92,24.56,24.56,24.56,24.56,26.29,22.84,24.21,26.82,26.82,26.82,25.54,25.54,24.28,26.29,26.29,26.29
11-04-2017,25.6,22.39,22.39,22.39,22.39,23.26,22.08,22.39,27,27,27,25.66,25.66,23.64,23.26,23.26,23.26
12-04-2017,27.18,27.14,27.14,27.14,27.14,29.3,26.68,26.68,27.45,27.45,27.45,27.16,27.16,24.49,29.3,29.3,29.3
13-04-2017,27.23,26.97,26.97,26.97,26.97,32.37,25.89,25.89,27.52,27.52,27.52,27.02,27.02,24.37,32.37,32.37,32.37
14-04-2017,27.87,28.22,28.22,28.22,28.22,31.41,28.22,28.22,28.1,28.1,28.1,28.1,28.1,24.52,31.41,31.41,31.41
15-04-2017,27.8,28.14,28.14,28.14,28.14,28.2,27.98,27.98,28.14,28.14,28.14,28.09,28.09,24.49,28.2,28.2,28.2
16-04-2017,28.47,28.84,28.84,28.84,28.84,28.84,28.84,28.87,28.84,28.84,28.84,28.84,28.84,24.44,28.84,28.84,28.84
17-04-2017,28.44,28.68,28.68,28.68,28.68,29.44,28.04,28.09,28.81,28.8,28.81,28.68,28.68,24.53,29.44,29.44,29.44
18-04-2017,32.55,33.56,33.56,33.56,33.56,34.19,33.55,33.56,33.15,33.08,33.15,33.14,33.14,24.56,34.19,34.19,34.19
19-04-2017,33.49,35.83,35.83,35.83,35.95,36.12,35.98,35.98,35.16,35.04,35.16,33.87,33.87,24.65,36.12,36.12,36.23
20-04-2017,29.49,29.82,29.82,29.82,31,31.76,29.82,31,29.91,29.91,29.91,29.8,29.8,24.27,31.76,32.51,32.64
21-04-2017,26.99,20.13,20.13,20.13,20.13,33.11,18.24,20.14,28.66,28.66,28.66,28.35,28.35,23.37,33.11,33.11,33.11
22-04-2017,25.81,14.2,14.2,14.2,14.2,26.98,10.59,10.87,28.46,28.46,28.46,28.23,28.23,23.72,26.98,26.98,26.98
23-04-2017,27.4,26.44,26.44,26.44,26.44,26.51,10.46,16.52,28.73,28.71,28.73,28.64,28.64,24.1,26.51,26.51,26.51
24-04-2017,30.68,32.19,32.19,32.19,32.19,39.27,26.62,28.27,32.38,29.31,32.38,31.68,31.68,24.49,39.27,39.27,39.27
25-04-2017,34.45,35.44,35.44,35.44,35.44,37.05,35.47,35.48,35.44,33.02,35.44,35.29,35.29,24.42,37.05,37.05,37.05
26-04-2017,37.24,38.8,38.8,38.8,38.8,38.8,39.91,39.91,38.8,34.1,38.8,38.8,38.8,24.92,38.8,38.8,38.8
27-04-2017,35.82,36.54,36.54,36.54,36.74,39.36,36.21,36.75,36.4,34.13,36.4,36.51,36.51,24.15,39.36,39.36,39.36
28-04-2017,35.26,34.72,34.72,34.72,34.78,45.88,34.72,34.78,34.41,33.91,34.41,34.71,34.71,24.15,39.1,39.1,39.1
29-04-2017,30.41,31,31,31,31,31,30.95,31.03,31,31,31,31.01,31.01,23.98,31,31,31
30-04-2017,28.34,28.93,28.93,28.93,28.93,28.93,28,28.41,28.94,28.75,29.08,29.08,29.08,23.96,28.93,28.93,28.93
01-05-2017,27.19,26.87,26.87,26.87,26.87,26.87,5.43,6.42,28.63,28.63,28.83,28.83,28.83,24.12,26.87,26.87,26.87
02-05-2017,30.55,30.61,30.61,30.61,30.61,30.67,27.56,27.6,31.34,31.18,31.34,31.08,31.08,24.38,30.67,30.67,30.67
03-05-2017,30.52,31.01,31.01,31.01,31.01,31.01,31.01,31.01,31.14,31.14,31.14,31.01,31.01,24.64,30.55,30.55,30.55
04-05-2017,29.59,29.45,29.45,29.45,29.45,29.45,29.4,29.4,29.86,29.86,29.86,29.73,29.73,26.38,29.45,29.45,29.45
05-05-2017,30.17,29.79,29.79,29.79,29.79,29.79,31.7,31.7,30.57,30.57,30.57,30.39,30.39,26.57,29.79,29.79,29.79
06-05-2017,30.09,29.59,29.59,29.59,29.59,29.59,32.62,32.65,30.34,30.34,30.34,29.92,29.92,26.5,29.59,29.59,29.59
07-05-2017,28.31,28.27,28.27,28.27,28.27,28.22,28.33,28.34,28.53,28.53,28.53,28.37,28.37,26.56,28.22,28.22,28.22
08-05-2017,30.09,29.98,29.98,29.98,29.98,29.98,30.06,30.04,30.24,30.24,30.24,30.24,30.24,29.83,29.98,29.98,29.98
09-05-2017,34.75,35.14,35.14,35.14,35.14,35.14,35.92,35.92,33.37,33.37,33.37,35.14,35.14,29.27,35.14,35.14,35.14
10-05-2017,36.33,36.84,36.84,36.84,36.84,36.84,38.14,38.14,35.14,35.11,35.14,36.84,36.84,29.62,36.81,36.81,36.81
11-05-2017,33.7,34.26,34.26,34.26,34.26,34.26,34.25,34.26,32.39,32.39,32.39,34.28,34.28,31.04,34.19,34.19,34.19
12-05-2017,31.16,31.79,31.79,31.79,31.79,33.46,30.42,31.79,31.37,30.43,30.91,31.83,31.83,29.18,33.46,33.46,33.46
13-05-2017,30,30.22,30.22,30.22,30.22,30.22,30.2,30.32,30.22,30.2,30.22,30.22,30.22,26.69,30.22,34.26,34.26
14-05-2017,28.45,28.59,28.59,28.59,28.59,28.59,28.59,28.79,28.8,28.8,28.8,28.77,28.77,25.49,28.59,28.59,28.59
15-05-2017,31.86,32.91,32.91,32.91,33.32,33.52,32.76,33.32,31.47,31.47,31.47,31.82,31.82,26.64,33.52,34.09,34.09
16-05-2017,30.16,31.38,31.38,31.38,31.38,34.1,30.09,31.38,29.88,29.88,29.88,31.38,31.38,26.13,34.1,34.28,34.28
17-05-2017,27.85,30.26,30.26,30.26,30.26,30.39,30.26,30.26,27.21,27.21,27.21,27.66,27.66,25.68,30.39,33.27,33.27
18-05-2017,27.54,28,28,28,28,32.39,26.85,28.51,27.05,27.05,27.02,28,28,25.03,32.39,34.05,34.05
19-05-2017,28,31.52,31.52,31.52,32.12,31.52,32.22,32.22,27.06,27.06,26.63,31.52,31.52,25.83,31.52,32.98,32.98
20-05-2017,23.82,24.02,24.02,24.02,24.02,24.13,24.02,24.06,23.77,23.77,23.77,24.02,24.02,23.69,24.13,28.25,28.25
21-05-2017,18.94,18.78,18.78,18.78,18.78,19.17,20.56,20.86,18.78,18.78,18.78,18.78,18.78,18.78,19.17,19.17,19.17
22-05-2017,27.88,31.35,31.35,31.53,32.67,35.01,35.01,35.01,25.87,25.87,25.87,31.35,31.35,25.87,35.01,36.09,36.09
23-05-2017,26.89,29.47,29.47,30.03,31.09,31.07,32.4,33.11,25.7,25.7,25.7,29.01,29.01,25.71,31.07,39.11,39.11
24-05-2017,26.12,27.04,27.04,27.04,27.16,35.86,26.44,27.16,25.35,25.35,25.2,26.86,26.86,24.62,35.86,39.5,39.5
25-05-2017,24.91,24.86,24.86,24.86,24.86,26.33,24.79,25.01,24.76,24.76,24.76,24.86,24.86,24.26,26.33,37.69,37.69
26-05-2017,26.46,29.12,29.12,29.12,29.16,29.12,31.88,31.88,25.71,25.71,25.57,28.78,28.78,24.58,29.12,41.63,41.63
27-05-2017,25.22,25.59,25.59,25.59,25.59,28.78,27.23,27.38,25.07,25.07,24.84,25.58,25.58,24.38,28.78,31.07,31.07
28-05-2017,21.01,21.07,21.07,21.07,21.07,21.21,20.08,21.59,21.07,21.07,20.99,21.07,21.07,20.88,21.21,21.21,21.21
29-05-2017,28.27,34.37,34.37,34.37,34.73,34.37,35.67,35.67,25.68,25.68,24.94,34.37,34.37,23.92,34.37,34.73,34.73
30-05-2017,29.76,36.95,36.95,36.95,36.95,38.16,36.98,36.98,26.89,26.89,26.87,36.95,36.95,24.4,38.16,39.07,39.07
31-05-2017,26.73,27.27,27.27,27.27,27.27,31.66,25.68,27.27,25.68,25.68,25.68,27.27,27.27,25.29,31.66,32.53,32.53
01-06-2017,27.6,30.97,30.97,30.97,30.97,30.97,31.76,31.76,25.88,25.88,25.88,30.97,30.97,23.79,30.97,32.4,32.4
02-06-2017,28.73,34.96,34.96,34.96,34.96,34.96,35.89,35.99,26.97,27.02,26.84,34.96,34.96,24.51,34.96,35.35,35.35
03-06-2017,26.42,27.37,27.37,27.37,27.37,27.37,30.5,30.5,26.33,26.33,26.29,27.37,27.37,26.04,27.37,38.31,38.31
04-06-2017,24.63,24.8,24.8,24.8,24.82,24.84,24.92,26.25,24.58,24.62,24.58,24.8,24.8,24.44,24.84,31.92,31.92
05-06-2017,25.45,25.38,25.38,25.38,25.38,48.24,27.19,27.26,24.98,24.98,24.98,25.38,25.38,24.95,48.24,50.36,50.36
06-06-2017,22.56,21.46,21.46,21.46,21.46,30.2,20.85,21.63,21.46,21.46,21.46,21.46,21.46,21.46,30.2,63.8,63.8
07-06-2017,19.57,18.05,18.05,18.05,18.05,36.03,16.67,18.05,18.05,18.05,18.05,18.11,18.11,18.15,36.28,43.76,43.76
08-06-2017,24.15,26.44,26.44,26.44,26.44,33.15,27.45,27.51,22.32,22.32,22.32,23.77,23.77,22.74,33.34,44,44
09-06-2017,26.99,31.43,31.43,31.43,31.43,36.65,33.06,33.06,24.91,24.91,24.91,29.9,29.9,25.78,36.65,45.48,45.48
10-06-2017,24.8,26.93,26.93,26.93,26.93,26.93,30.05,30.05,24.19,24.19,23.98,26.03,26.03,24.88,26.93,46.76,46.76
11-06-2017,21.2,21.53,21.53,21.53,21.53,21.53,21.34,22.98,21.14,21.14,21.14,21.53,21.53,20.83,21.53,44.16,44.16
12-06-2017,23.08,23.39,23.39,23.39,23.39,28.7,21.23,23.39,22.44,22.44,22.44,23.39,23.39,22.27,28.7,39.93,39.93
13-06-2017,22.87,24.64,24.64,24.64,24.64,27.47,23.88,24.64,21.44,21.44,21.44,24.64,24.64,21.41,27.47,31.01,31.01
14-06-2017,27.29,32.59,32.59,32.59,35.65,36.93,36.02,36.02,24.06,24.06,24.06,32.17,32.17,24.33,36.93,41.86,41.86
15-06-2017,26.48,29.43,29.43,29.43,31.1,36.9,32.31,32.31,24.86,24.86,24.86,27.63,27.63,23.56,36.9,44.12,44.12
16-06-2017,24.02,23.59,23.59,23.59,23.59,34.13,19.19,24.16,23.1,23.09,23.01,23.04,23.04,23,34.13,41.1,41.1
17-06-2017,21.84,21.91,21.91,21.91,21.91,21.91,24.69,24.99,21.91,21.91,21.8,21.8,21.8,21.75,21.91,42.94,42.94
18-06-2017,23.73,23.8,23.8,23.8,24.85,24.09,28.75,28.75,23.8,23.89,23.62,23.62,23.62,22.98,24.09,43.04,43.04
19-06-2017,26.06,26.21,26.21,26.21,36.61,31.28,36.93,36.93,24.72,24.72,24.6,24.62,24.62,24.51,31.28,39.92,39.92
20-06-2017,25.49,25.68,25.68,25.68,32.65,31.94,25.68,32.65,24.41,24.41,24.37,24.36,24.36,24.25,31.94,36.5,36.5
21-06-2017,26.65,30.74,30.74,30.74,34.28,30.74,37.55,37.55,24.74,24.74,24.23,24.35,24.35,24.06,30.74,34.7,34.7
22-06-2017,27.56,34.18,34.18,34.18,34.18,34.18,35.57,35.57,25.34,25.34,24.15,27.45,27.45,24.23,34.18,35.27,35.27
23-06-2017,25.21,26.42,26.42,26.42,26.42,26.48,26.9,26.9,25,25,23.77,24.02,24.02,23.88,26.48,31.96,31.96
24-06-2017,22.48,22.55,22.55,22.55,22.55,22.55,22.55,22.73,22.55,22.55,22.51,22.51,22.51,22.46,22.55,22.85,22.85
25-06-2017,19.98,20.03,20.03,20.03,20.03,20.03,16.26,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,23.4,23.4
26-06-2017,23.46,25.49,25.49,25.49,25.49,27.94,23.04,25.49,22.56,22.56,22.41,22.42,22.42,22.42,27.94,27.94,27.94
27-06-2017,25.44,34.61,34.61,34.61,37.07,34.61,37.39,37.39,23.66,23.66,23.66,23.66,23.66,23.66,34.61,37.82,37.82
28-06-2017,25.35,34.16,34.16,34.16,34.16,34.42,33.82,34.16,23.75,23.75,23.56,23.56,23.56,23.56,34.42,35.77,35.77
29-06-2017,24.89,34.42,34.42,34.42,34.42,34.55,34.42,34.42,23.17,23.17,23.16,22.9,22.9,22.9,34.55,34.69,34.69
30-06-2017,24.34,27.85,27.85,27.85,27.85,29.36,27.93,27.93,23.11,23.11,23.11,22.86,22.86,22.79,29.36,29.68,29.68
01-07-2017,24.15,27.28,27.28,27.28,27.28,28.1,27.28,27.28,23.86,23.86,23.86,22.85,22.85,22.37,28.1,29.36,29.36
02-07-2017,22.97,23.77,23.77,23.77,23.77,24.13,21.62,23.77,23,23,23,22.72,22.72,22.28,24.13,24.13,24.13
03-07-2017,24.8,26.15,26.15,26.15,26.15,43.68,22.54,26.15,24.17,24.17,23.92,23.13,23.13,23.1,43.68,43.68,43.68
