Date,NO,SE
2014-10-18,64640.0,23401.0
2014-10-19,64640.0,23401.0
2014-10-20,66817.0,23627.0
2014-10-21,66817.0,23627.0
2014-10-22,66817.0,23627.0
2014-10-23,66817.0,23627.0
2014-10-24,66817.0,23627.0
2014-10-25,66817.0,23627.0
2014-10-26,66817.0,23627.0
2014-10-27,69426.0,24152.0
2014-10-28,69426.0,24152.0
2014-10-29,69426.0,24152.0
2014-10-30,69426.0,24152.0
2014-10-31,69426.0,24152.0
2014-11-01,69426.0,24152.0
2014-11-02,69426.0,24152.0
2014-11-03,69011.0,24114.0
2014-11-04,69011.0,24114.0
2014-11-05,69011.0,24114.0
2014-11-06,69011.0,24114.0
2014-11-07,69011.0,24114.0
2014-11-08,69011.0,24114.0
2014-11-09,69011.0,24114.0
2014-11-10,68133.0,23917.0
2014-11-11,68133.0,23917.0
2014-11-12,68133.0,23917.0
2014-11-13,68133.0,23917.0
2014-11-14,68133.0,23917.0
2014-11-15,68133.0,23917.0
2014-11-16,68133.0,23917.0
2014-11-17,66210.0,23240.0
2014-11-18,66210.0,23240.0
2014-11-19,66210.0,23240.0
2014-11-20,66210.0,23240.0
2014-11-21,66210.0,23240.0
2014-11-22,66210.0,23240.0
2014-11-23,66210.0,23240.0
2014-11-24,64331.0,22655.0
2014-11-25,64331.0,22655.0
2014-11-26,64331.0,22655.0
2014-11-27,64331.0,22655.0
2014-11-28,64331.0,22655.0
2014-11-29,64331.0,22655.0
2014-11-30,64331.0,22655.0
2014-12-01,62297.0,22092.0
2014-12-02,62297.0,22092.0
2014-12-03,62297.0,22092.0
2014-12-04,62297.0,22092.0
2014-12-05,62297.0,22092.0
2014-12-06,62297.0,22092.0
2014-12-07,62297.0,22092.0
2014-12-08,60443.0,21497.0
2014-12-09,60443.0,21497.0
2014-12-10,60443.0,21497.0
2014-12-11,60443.0,21497.0
2014-12-12,60443.0,21497.0
2014-12-13,60443.0,21497.0
2014-12-14,60443.0,21497.0
2014-12-15,58655.0,20901.0
2014-12-16,58655.0,20901.0
2014-12-17,58655.0,20901.0
2014-12-18,58655.0,20901.0
2014-12-19,58655.0,20901.0
2014-12-20,58655.0,20901.0
2014-12-21,58655.0,20901.0
2014-12-22,56579.0,20125.0
2014-12-23,56579.0,20125.0
2014-12-24,56579.0,20125.0
2014-12-25,56579.0,20125.0
2014-12-26,56579.0,20125.0
2014-12-27,56579.0,20125.0
2014-12-28,56579.0,20125.0
2014-12-29,55533.0,19854.0
2014-12-30,55533.0,19854.0
2014-12-31,55533.0,19854.0
2015-01-01,55533.0,19854.0
2015-01-02,55533.0,19854.0
2015-01-03,55533.0,19854.0
2015-01-04,55533.0,19854.0
2015-01-05,53780.0,19180.0
2015-01-06,53780.0,19180.0
2015-01-07,53780.0,19180.0
2015-01-08,53780.0,19180.0
2015-01-09,53780.0,19180.0
2015-01-10,53780.0,19180.0
2015-01-11,53780.0,19180.0
2015-01-12,51907.0,18458.0
2015-01-13,51907.0,18458.0
2015-01-14,51907.0,18458.0
2015-01-15,51907.0,18458.0
2015-01-16,51907.0,18458.0
2015-01-17,51907.0,18458.0
2015-01-18,51907.0,18458.0
2015-01-19,49084.0,17283.0
2015-01-20,49084.0,17283.0
2015-01-21,49084.0,17283.0
2015-01-22,49084.0,17283.0
2015-01-23,49084.0,17283.0
2015-01-24,49084.0,17283.0
2015-01-25,49084.0,17283.0
2015-01-26,46803.0,16448.0
2015-01-27,46803.0,16448.0
2015-01-28,46803.0,16448.0
2015-01-29,46803.0,16448.0
2015-01-30,46803.0,16448.0
2015-01-31,46803.0,16448.0
2015-02-01,46803.0,16448.0
2015-02-02,44087.0,15350.0
2015-02-03,44087.0,15350.0
2015-02-04,44087.0,15350.0
2015-02-05,44087.0,15350.0
2015-02-06,44087.0,15350.0
2015-02-07,44087.0,15350.0
2015-02-08,44087.0,15350.0
2015-02-09,42114.0,14769.0
2015-02-10,42114.0,14769.0
2015-02-11,42114.0,14769.0
2015-02-12,42114.0,14769.0
2015-02-13,42114.0,14769.0
2015-02-14,42114.0,14769.0
2015-02-15,42114.0,14769.0
2015-02-16,40447.0,13946.0
2015-02-17,40447.0,13946.0
2015-02-18,40447.0,13946.0
2015-02-19,40447.0,13946.0
2015-02-20,40447.0,13946.0
2015-02-21,40447.0,13946.0
2015-02-22,40447.0,13946.0
2015-02-23,38639.0,13062.0
2015-02-24,38639.0,13062.0
2015-02-25,38639.0,13062.0
