Date,System Price
01-03-2015,22.82
02-03-2015,25.32
03-03-2015,25.76
04-03-2015,26.62
05-03-2015,28.67
06-03-2015,26.37
07-03-2015,22.59
08-03-2015,21.32
09-03-2015,25.35
10-03-2015,24.56
11-03-2015,26.08
12-03-2015,27.36
13-03-2015,25.75
14-03-2015,24.33
15-03-2015,24.13
16-03-2015,24.65
17-03-2015,25.26
18-03-2015,26.66
19-03-2015,26.42
20-03-2015,26.44
21-03-2015,24.22
22-03-2015,24.33
23-03-2015,25.03
24-03-2015,28.26
25-03-2015,27.53
26-03-2015,25.92
27-03-2015,26.7
28-03-2015,24.41
29-03-2015,23.19
30-03-2015,24.52
31-03-2015,24.93
01-04-2015,25.06
02-04-2015,25.13
03-04-2015,24.73
04-04-2015,25.57
05-04-2015,25.23
06-04-2015,25.4
07-04-2015,26.07
08-04-2015,25.75
09-04-2015,26.7
10-04-2015,26.36
11-04-2015,24.66
12-04-2015,21.86
13-04-2015,24.02
14-04-2015,26.42
15-04-2015,25.76
16-04-2015,25.49
17-04-2015,25.98
18-04-2015,24.2
19-04-2015,23.62
20-04-2015,25.87
21-04-2015,24.99
22-04-2015,24.56
23-04-2015,22.28
24-04-2015,24.93
25-04-2015,23.15
26-04-2015,22.57
27-04-2015,29.66
28-04-2015,29.29
29-04-2015,26.5
30-04-2015,27.34
01-05-2015,24.75
02-05-2015,24.14
03-05-2015,23.91
04-05-2015,27.27
05-05-2015,25.76
06-05-2015,24.32
07-05-2015,23.41
08-05-2015,24.51
09-05-2015,20.12
10-05-2015,18.81
11-05-2015,23.13
12-05-2015,23.24
13-05-2015,20.59
14-05-2015,18.88
15-05-2015,21.97
16-05-2015,20.0
17-05-2015,14.14
18-05-2015,26.3
19-05-2015,25.09
20-05-2015,28.09
21-05-2015,28.98
22-05-2015,23.09
23-05-2015,18.23
24-05-2015,19.78
25-05-2015,22.27
26-05-2015,24.46
27-05-2015,22.68
28-05-2015,22.88
29-05-2015,21.19
30-05-2015,16.77
31-05-2015,13.51
01-06-2015,19.47
02-06-2015,16.47
03-06-2015,15.77
04-06-2015,18.75
05-06-2015,17.17
06-06-2015,10.09
07-06-2015,8.39
08-06-2015,17.67
09-06-2015,18.55
10-06-2015,17.22
11-06-2015,16.47
12-06-2015,15.08
13-06-2015,9.94
14-06-2015,8.01
15-06-2015,12.7
16-06-2015,14.45
17-06-2015,14.4
18-06-2015,11.1
19-06-2015,10.54
20-06-2015,9.31
21-06-2015,11.42
22-06-2015,17.27
23-06-2015,16.31
24-06-2015,11.83
25-06-2015,13.17
26-06-2015,17.26
27-06-2015,15.33
28-06-2015,15.12
29-06-2015,17.15
30-06-2015,16.57
01-07-2015,15.94
02-07-2015,11.74
03-07-2015,11.14
04-07-2015,9.91
05-07-2015,11.27
06-07-2015,11.03
07-07-2015,10.79
08-07-2015,8.83
09-07-2015,6.23
10-07-2015,6.3
11-07-2015,9.06
12-07-2015,8.43
13-07-2015,11.51
14-07-2015,12.12
15-07-2015,10.23
16-07-2015,12.33
17-07-2015,10.37
18-07-2015,6.95
19-07-2015,9.23
20-07-2015,10.58
21-07-2015,9.31
22-07-2015,10.29
23-07-2015,9.73
24-07-2015,10.28
25-07-2015,7.08
26-07-2015,3.88
27-07-2015,9.66
28-07-2015,9.88
29-07-2015,7.98
30-07-2015,7.48
31-07-2015,6.43
01-08-2015,6.71
02-08-2015,7.52
03-08-2015,9.25
04-08-2015,8.57
05-08-2015,9.0
06-08-2015,8.65
07-08-2015,8.3
08-08-2015,6.34
09-08-2015,7.84
10-08-2015,11.66
11-08-2015,10.46
12-08-2015,11.66
13-08-2015,12.65
14-08-2015,10.82
15-08-2015,10.96
16-08-2015,11.13
17-08-2015,11.88
18-08-2015,12.86
19-08-2015,17.73
20-08-2015,21.41
21-08-2015,19.93
22-08-2015,17.44
23-08-2015,16.08
24-08-2015,19.95
25-08-2015,18.18
26-08-2015,18.31
27-08-2015,16.03
28-08-2015,16.13
29-08-2015,13.92
30-08-2015,15.26
31-08-2015,18.05
01-09-2015,16.46
02-09-2015,16.1
03-09-2015,17.75
04-09-2015,19.34
05-09-2015,15.18
06-09-2015,11.05
07-09-2015,20.62
08-09-2015,21.49
09-09-2015,21.57
10-09-2015,21.83
11-09-2015,20.13
12-09-2015,16.37
13-09-2015,17.05
14-09-2015,19.25
15-09-2015,18.6
16-09-2015,20.33
17-09-2015,18.75
18-09-2015,14.67
19-09-2015,13.21
20-09-2015,14.9
21-09-2015,20.88
22-09-2015,18.53
23-09-2015,18.92
24-09-2015,16.71
25-09-2015,15.26
26-09-2015,14.58
27-09-2015,14.69
28-09-2015,17.72
29-09-2015,16.49
30-09-2015,15.16
01-10-2015,13.54
02-10-2015,11.75
03-10-2015,12.72
04-10-2015,13.61
05-10-2015,16.18
06-10-2015,13.84
07-10-2015,15.61
08-10-2015,19.74
09-10-2015,21.78
10-10-2015,20.79
11-10-2015,20.21
12-10-2015,23.08
13-10-2015,22.89
14-10-2015,23.27
15-10-2015,23.59
16-10-2015,23.92
17-10-2015,23.34
18-10-2015,23.77
19-10-2015,30.57
20-10-2015,30.47
21-10-2015,25.11
22-10-2015,23.85
23-10-2015,23.89
24-10-2015,23.84
25-10-2015,23.09
26-10-2015,26.66
27-10-2015,26.86
28-10-2015,26.66
29-10-2015,29.37
30-10-2015,27.29
31-10-2015,24.84
01-11-2015,24.52
02-11-2015,25.41
03-11-2015,25.91
04-11-2015,25.83
05-11-2015,26.06
06-11-2015,25.74
07-11-2015,23.15
08-11-2015,22.44
09-11-2015,22.91
10-11-2015,22.71
11-11-2015,24.23
12-11-2015,24.28
13-11-2015,23.28
14-11-2015,20.67
15-11-2015,22.65
16-11-2015,23.92
17-11-2015,24.76
18-11-2015,24.34
19-11-2015,24.83
20-11-2015,27.5
21-11-2015,24.91
22-11-2015,24.36
23-11-2015,41.14
24-11-2015,25.72
25-11-2015,31.0
26-11-2015,28.24
27-11-2015,22.72
28-11-2015,20.68
29-11-2015,19.59
30-11-2015,22.73
01-12-2015,23.83
02-12-2015,25.32
03-12-2015,24.6
04-12-2015,20.71
05-12-2015,16.06
06-12-2015,12.78
07-12-2015,21.14
08-12-2015,21.86
09-12-2015,19.68
10-12-2015,18.62
11-12-2015,20.08
12-12-2015,19.79
13-12-2015,21.96
14-12-2015,34.0
15-12-2015,27.81
16-12-2015,30.16
17-12-2015,26.69
18-12-2015,18.51
19-12-2015,15.53
20-12-2015,12.82
21-12-2015,13.46
22-12-2015,12.94
23-12-2015,11.89
24-12-2015,10.51
25-12-2015,8.74
26-12-2015,11.97
27-12-2015,13.83
28-12-2015,21.19
29-12-2015,16.44
30-12-2015,16.01
31-12-2015,15.47
01-01-2016,16.61
02-01-2016,15.7
03-01-2016,16.8
04-01-2016,19.21
05-01-2016,22.88
06-01-2016,30.09
07-01-2016,38.94
08-01-2016,32.76
09-01-2016,26.64
10-01-2016,22.1
11-01-2016,33.38
12-01-2016,31.33
13-01-2016,33.59
14-01-2016,43.04
15-01-2016,41.92
16-01-2016,26.94
17-01-2016,25.45
18-01-2016,49.26
19-01-2016,55.36
20-01-2016,50.38
21-01-2016,80.99
22-01-2016,37.5
23-01-2016,24.58
24-01-2016,22.56
25-01-2016,26.42
26-01-2016,18.5
27-01-2016,17.08
28-01-2016,17.16
29-01-2016,16.72
30-01-2016,14.85
31-01-2016,16.56
01-02-2016,19.23
02-02-2016,17.22
03-02-2016,18.39
04-02-2016,18.69
05-02-2016,23.01
06-02-2016,16.24
07-02-2016,14.95
08-02-2016,15.48
09-02-2016,17.18
10-02-2016,20.02
11-02-2016,20.55
12-02-2016,21.81
13-02-2016,18.83
14-02-2016,17.51
15-02-2016,22.9
16-02-2016,26.86
17-02-2016,18.75
18-02-2016,24.14
19-02-2016,21.34
20-02-2016,16.77
21-02-2016,16.22
22-02-2016,18.61
23-02-2016,19.75
24-02-2016,20.42
25-02-2016,25.89
26-02-2016,23.86
27-02-2016,19.64
28-02-2016,19.04
29-02-2016,24.91
01-03-2016,20.57
02-03-2016,23.95
03-03-2016,25.56
04-03-2016,23.78
05-03-2016,20.1
06-03-2016,19.79
07-03-2016,23.45
08-03-2016,25.45
09-03-2016,24.28
10-03-2016,25.01
11-03-2016,26.74
12-03-2016,22.54
13-03-2016,21.52
14-03-2016,22.58
15-03-2016,22.23
16-03-2016,21.76
17-03-2016,21.89
18-03-2016,21.83
19-03-2016,21.44
20-03-2016,20.38
21-03-2016,21.71
22-03-2016,21.86
23-03-2016,21.74
24-03-2016,21.32
25-03-2016,20.58
26-03-2016,19.53
27-03-2016,16.88
28-03-2016,16.81
29-03-2016,19.88
30-03-2016,21.78
31-03-2016,22.42
01-04-2016,22.87
02-04-2016,20.54
03-04-2016,19.77
04-04-2016,23.11
05-04-2016,22.69
06-04-2016,20.99
07-04-2016,20.24
08-04-2016,21.58
09-04-2016,21.25
10-04-2016,20.44
11-04-2016,22.92
12-04-2016,22.18
13-04-2016,24.29
14-04-2016,23.97
15-04-2016,22.52
16-04-2016,20.68
17-04-2016,18.97
18-04-2016,21.18
19-04-2016,20.58
20-04-2016,21.7
21-04-2016,21.82
22-04-2016,21.75
23-04-2016,21.71
24-04-2016,21.45
25-04-2016,24.93
26-04-2016,24.83
27-04-2016,24.23
28-04-2016,25.38
29-04-2016,22.65
30-04-2016,22.45
01-05-2016,21.67
02-05-2016,24.18
03-05-2016,24.1
04-05-2016,25.05
05-05-2016,21.32
06-05-2016,21.84
07-05-2016,18.55
08-05-2016,16.25
09-05-2016,21.21
10-05-2016,23.82
11-05-2016,24.25
12-05-2016,23.32
13-05-2016,25.06
14-05-2016,20.32
15-05-2016,20.04
16-05-2016,22.42
17-05-2016,24.73
18-05-2016,27.46
19-05-2016,29.39
20-05-2016,25.08
21-05-2016,23.03
22-05-2016,22.11
23-05-2016,24.25
24-05-2016,23.95
25-05-2016,24.14
26-05-2016,25.17
27-05-2016,25.92
28-05-2016,23.05
29-05-2016,20.84
30-05-2016,22.56
31-05-2016,24.28
01-06-2016,25.56
02-06-2016,24.63
03-06-2016,24.52
04-06-2016,22.85
05-06-2016,22.3
06-06-2016,26.92
07-06-2016,27.4
08-06-2016,26.56
09-06-2016,27.05
10-06-2016,26.49
11-06-2016,25.7
12-06-2016,25.26
13-06-2016,27.85
14-06-2016,27.69
15-06-2016,28.63
16-06-2016,28.65
17-06-2016,27.72
18-06-2016,24.71
19-06-2016,23.67
20-06-2016,27.58
21-06-2016,27.78
22-06-2016,28.17
23-06-2016,27.94
24-06-2016,27.0
25-06-2016,25.46
26-06-2016,23.76
27-06-2016,28.41
28-06-2016,29.67
29-06-2016,28.84
30-06-2016,27.15
01-07-2016,25.32
02-07-2016,21.54
03-07-2016,21.16
04-07-2016,25.94
05-07-2016,24.91
06-07-2016,22.18
07-07-2016,25.07
08-07-2016,25.66
09-07-2016,23.57
10-07-2016,23.63
11-07-2016,24.85
12-07-2016,25.51
13-07-2016,26.16
14-07-2016,25.48
15-07-2016,24.79
16-07-2016,24.51
17-07-2016,23.66
18-07-2016,26.5
19-07-2016,27.84
20-07-2016,27.0
21-07-2016,27.6
22-07-2016,27.15
23-07-2016,26.13
24-07-2016,25.6
25-07-2016,27.81
26-07-2016,27.22
27-07-2016,27.06
28-07-2016,26.33
29-07-2016,26.1
30-07-2016,24.61
31-07-2016,23.95
01-08-2016,25.6
02-08-2016,26.37
03-08-2016,25.41
04-08-2016,24.54
05-08-2016,25.6
06-08-2016,22.74
07-08-2016,20.81
08-08-2016,22.27
09-08-2016,23.23
10-08-2016,25.02
11-08-2016,26.08
12-08-2016,24.97
13-08-2016,20.68
14-08-2016,22.0
15-08-2016,25.54
16-08-2016,25.65
17-08-2016,26.75
18-08-2016,26.27
19-08-2016,27.49
20-08-2016,24.98
21-08-2016,23.63
22-08-2016,28.51
23-08-2016,27.47
24-08-2016,27.73
25-08-2016,26.92
26-08-2016,25.86
27-08-2016,23.33
28-08-2016,23.02
29-08-2016,26.83
30-08-2016,28.43
31-08-2016,26.72
01-09-2016,25.51
02-09-2016,24.89
03-09-2016,23.76
04-09-2016,22.91
05-09-2016,26.72
06-09-2016,25.98
07-09-2016,24.88
08-09-2016,26.13
09-09-2016,25.43
10-09-2016,24.27
11-09-2016,23.01
12-09-2016,25.61
13-09-2016,25.8
14-09-2016,26.09
15-09-2016,25.86
16-09-2016,24.66
17-09-2016,23.99
18-09-2016,23.74
19-09-2016,28.07
20-09-2016,27.28
21-09-2016,27.35
22-09-2016,26.56
23-09-2016,26.09
24-09-2016,24.86
25-09-2016,23.5
26-09-2016,27.18
27-09-2016,25.99
28-09-2016,23.02
29-09-2016,23.26
30-09-2016,23.39
01-10-2016,25.35
02-10-2016,25.76
03-10-2016,27.45
04-10-2016,27.6
05-10-2016,27.71
06-10-2016,28.28
07-10-2016,28.87
08-10-2016,28.94
09-10-2016,29.29
10-10-2016,32.71
11-10-2016,32.23
12-10-2016,33.18
13-10-2016,33.56
14-10-2016,31.44
15-10-2016,29.82
16-10-2016,30.8
17-10-2016,32.97
18-10-2016,34.7
19-10-2016,35.58
20-10-2016,36.87
21-10-2016,35.24
22-10-2016,34.2
23-10-2016,34.23
24-10-2016,38.17
25-10-2016,40.99
26-10-2016,40.05
27-10-2016,37.04
28-10-2016,33.65
29-10-2016,32.66
30-10-2016,35.77
31-10-2016,41.01
01-11-2016,36.29
02-11-2016,37.36
03-11-2016,41.72
04-11-2016,40.07
05-11-2016,38.47
06-11-2016,36.93
07-11-2016,42.59
08-11-2016,47.8
09-11-2016,46.65
10-11-2016,47.03
11-11-2016,45.85
12-11-2016,39.94
13-11-2016,38.83
14-11-2016,39.87
15-11-2016,38.89
16-11-2016,39.29
17-11-2016,37.3
18-11-2016,36.05
19-11-2016,34.97
20-11-2016,34.31
21-11-2016,37.44
22-11-2016,38.2
23-11-2016,38.36
24-11-2016,38.0
25-11-2016,36.96
26-11-2016,32.53
27-11-2016,32.52
28-11-2016,39.08
29-11-2016,36.95
30-11-2016,34.52
01-12-2016,34.08
02-12-2016,35.65
03-12-2016,35.9
04-12-2016,34.31
05-12-2016,34.91
06-12-2016,41.9
07-12-2016,33.46
08-12-2016,30.85
09-12-2016,30.45
10-12-2016,30.09
11-12-2016,30.23
12-12-2016,36.55
13-12-2016,33.92
14-12-2016,36.68
15-12-2016,35.54
16-12-2016,36.55
17-12-2016,32.48
18-12-2016,31.65
19-12-2016,32.99
20-12-2016,31.98
21-12-2016,29.81
22-12-2016,29.28
23-12-2016,27.87
24-12-2016,25.59
25-12-2016,24.94
26-12-2016,24.54
27-12-2016,26.66
28-12-2016,30.63
29-12-2016,30.28
30-12-2016,29.1
31-12-2016,26.76
01-01-2017,28.14
02-01-2017,32.53
03-01-2017,31.59
04-01-2017,30.67
