Date,Hour,System Price
14-01-2014,13,45.96
14-01-2014,14,47.16
14-01-2014,15,48.1
14-01-2014,16,50.02
14-01-2014,17,54.99
14-01-2014,18,48.01
14-01-2014,19,42.42
14-01-2014,20,36.83
14-01-2014,21,35.15
14-01-2014,22,33.05
14-01-2014,23,31.1
15-01-2014,0,31.51
15-01-2014,1,30.62
15-01-2014,2,29.91
15-01-2014,3,29.62
15-01-2014,4,29.71
15-01-2014,5,31.72
15-01-2014,6,40.06
15-01-2014,7,57.0
15-01-2014,8,62.1
15-01-2014,9,57.76
15-01-2014,10,50.23
15-01-2014,11,44.11
15-01-2014,12,41.8
15-01-2014,13,43.27
15-01-2014,14,45.55
15-01-2014,15,48.54
15-01-2014,16,55.25
15-01-2014,17,56.55
15-01-2014,18,44.48
15-01-2014,19,37.76
15-01-2014,20,34.66
15-01-2014,21,33.95
15-01-2014,22,31.95
15-01-2014,23,30.21
16-01-2014,0,30.05
16-01-2014,1,28.93
16-01-2014,2,27.77
16-01-2014,3,27.49
16-01-2014,4,28.72
16-01-2014,5,30.43
16-01-2014,6,32.78
16-01-2014,7,35.81
16-01-2014,8,35.99
16-01-2014,9,35.11
16-01-2014,10,34.28
16-01-2014,11,33.6
16-01-2014,12,33.88
16-01-2014,13,34.0
16-01-2014,14,34.1
16-01-2014,15,34.46
16-01-2014,16,35.29
16-01-2014,17,35.54
16-01-2014,18,34.12
16-01-2014,19,33.2
16-01-2014,20,32.38
16-01-2014,21,31.84
16-01-2014,22,31.03
16-01-2014,23,30.01
17-01-2014,0,29.61
17-01-2014,1,28.89
17-01-2014,2,27.92
17-01-2014,3,28.05
17-01-2014,4,28.89
17-01-2014,5,30.57
17-01-2014,6,33.3
17-01-2014,7,38.11
17-01-2014,8,44.48
17-01-2014,9,41.11
17-01-2014,10,37.82
17-01-2014,11,37.18
17-01-2014,12,35.07
17-01-2014,13,34.67
17-01-2014,14,35.32
17-01-2014,15,35.76
17-01-2014,16,38.05
17-01-2014,17,39.66
17-01-2014,18,35.94
17-01-2014,19,33.64
17-01-2014,20,32.47
17-01-2014,21,32.1
17-01-2014,22,31.78
17-01-2014,23,30.56
18-01-2014,0,30.53
18-01-2014,1,29.84
18-01-2014,2,28.92
18-01-2014,3,28.67
18-01-2014,4,29.11
18-01-2014,5,29.41
18-01-2014,6,29.81
18-01-2014,7,30.48
18-01-2014,8,31.29
18-01-2014,9,31.65
18-01-2014,10,32.06
18-01-2014,11,31.95
18-01-2014,12,31.61
18-01-2014,13,31.2
18-01-2014,14,30.99
18-01-2014,15,31.44
18-01-2014,16,32.84
18-01-2014,17,33.34
18-01-2014,18,32.78
18-01-2014,19,32.12
18-01-2014,20,30.92
18-01-2014,21,30.62
18-01-2014,22,30.36
18-01-2014,23,29.62
19-01-2014,0,30.23
19-01-2014,1,29.73
19-01-2014,2,29.22
19-01-2014,3,29.29
19-01-2014,4,29.42
19-01-2014,5,29.64
19-01-2014,6,30.05
19-01-2014,7,30.12
19-01-2014,8,30.43
19-01-2014,9,30.61
19-01-2014,10,30.85
19-01-2014,11,30.99
19-01-2014,12,30.8
19-01-2014,13,30.72
19-01-2014,14,30.69
19-01-2014,15,30.82
19-01-2014,16,31.54
19-01-2014,17,32.89
19-01-2014,18,32.7
19-01-2014,19,32.22
19-01-2014,20,31.51
19-01-2014,21,31.33
19-01-2014,22,30.84
19-01-2014,23,30.17
20-01-2014,0,29.99
20-01-2014,1,29.12
20-01-2014,2,28.61
20-01-2014,3,28.26
20-01-2014,4,29.14
20-01-2014,5,30.53
20-01-2014,6,32.88
20-01-2014,7,35.96
20-01-2014,8,40.0
20-01-2014,9,39.57
20-01-2014,10,35.78
20-01-2014,11,35.46
20-01-2014,12,35.09
20-01-2014,13,34.72
20-01-2014,14,36.35
20-01-2014,15,37.93
20-01-2014,16,42.23
20-01-2014,17,45.23
20-01-2014,18,38.57
20-01-2014,19,35.38
20-01-2014,20,33.29
20-01-2014,21,32.83
20-01-2014,22,32.21
20-01-2014,23,30.97
21-01-2014,0,31.42
21-01-2014,1,31.1
21-01-2014,2,30.63
21-01-2014,3,30.32
21-01-2014,4,30.92
21-01-2014,5,32.79
21-01-2014,6,36.38
21-01-2014,7,51.25
21-01-2014,8,58.76
21-01-2014,9,53.91
21-01-2014,10,49.19
21-01-2014,11,48.97
21-01-2014,12,45.2
21-01-2014,13,43.15
21-01-2014,14,46.46
21-01-2014,15,49.84
21-01-2014,16,53.64
21-01-2014,17,57.39
21-01-2014,18,52.53
21-01-2014,19,40.86
21-01-2014,20,36.68
21-01-2014,21,35.01
21-01-2014,22,33.02
21-01-2014,23,31.49
22-01-2014,0,31.9
22-01-2014,1,31.46
22-01-2014,2,31.09
22-01-2014,3,31.01
22-01-2014,4,31.12
22-01-2014,5,33.47
22-01-2014,6,37.84
22-01-2014,7,59.0
22-01-2014,8,60.06
22-01-2014,9,52.54
22-01-2014,10,45.27
22-01-2014,11,43.62
22-01-2014,12,42.79
22-01-2014,13,42.73
22-01-2014,14,45.24
22-01-2014,15,46.55
22-01-2014,16,60.01
22-01-2014,17,62.81
22-01-2014,18,45.91
22-01-2014,19,44.95
22-01-2014,20,38.23
22-01-2014,21,35.82
22-01-2014,22,33.07
22-01-2014,23,31.74
23-01-2014,0,32.03
23-01-2014,1,31.52
23-01-2014,2,31.4
23-01-2014,3,31.32
23-01-2014,4,31.97
23-01-2014,5,33.21
23-01-2014,6,37.48
23-01-2014,7,49.96
23-01-2014,8,54.8
23-01-2014,9,52.06
23-01-2014,10,46.08
23-01-2014,11,45.25
23-01-2014,12,42.85
23-01-2014,13,41.96
23-01-2014,14,42.68
23-01-2014,15,44.89
23-01-2014,16,47.68
23-01-2014,17,53.27
23-01-2014,18,44.96
23-01-2014,19,38.88
23-01-2014,20,35.24
23-01-2014,21,34.69
23-01-2014,22,33.33
23-01-2014,23,32.0
24-01-2014,0,32.08
24-01-2014,1,31.56
24-01-2014,2,30.96
